gene,meanTumor,meanControl,log2FC,pvalue
PAIP2B,4.804508212824597,4.67117917191858,0.13332904090601705,0.3398331189548326
TPI1,8.271194316528607,8.908280617450574,-0.6370863009219665,0.0023523482402253272
GAK,5.595579580203484,5.590219277929445,0.005360302274039164,0.9417670866567449
GM17660,0.0,0.0,0.0,1.0
NCEH1,3.494773480274784,3.2155073263615086,0.27926615391327525,0.004032050185490544
PEG10,0.0,0.0,0.0,1.0
COMMD2,4.42048299661176,4.175967878568892,0.24451511804286774,0.021336766893712267
5430425K12RIK,0.05768965666817,0.1255354203582145,-0.0678457636900445,0.10932893069142367
AREG,0.0,0.45752391258882713,-0.45752391258882713,2.2285837069502025e-06
GCNT2,2.8960957754142043,0.0019082636168352564,2.894187511797369,1.089405706867333e-07
ACKR3,0.0,0.0,0.0,1.0
TUBB1,0.0,0.0,0.0,1.0
VMN1R214,0.0,0.0,0.0,1.0
YKT6,6.295714241701262,6.067600532317524,0.22811370938373798,0.0008615838531763115
SYBU,0.0,0.0,0.0,1.0
SWAP70,5.331230053792099,5.899333944710766,-0.5681038909186666,1.7023777707174895e-06
4930452G13RIK,0.0,0.0,0.0,1.0
FRMD3,0.0,0.0,0.0,1.0
MBD5,2.87906021572184,2.547317349472747,0.3317428662490931,0.00507607987423098
SCMH1,4.478618730842501,4.883234317293353,-0.40461558645085205,2.6092600281220426e-06
CHURC1,6.046671552318455,5.768482300122802,0.27818925219565305,0.16090456198548642
ABCA3,3.183820438568056,3.2392221536939707,-0.05540171512591474,0.7586329682104129
RNASEK,6.962713361686833,6.78280034783876,0.1799130138480729,0.4232629246461701
1700012H19RIK,0.0,0.0,0.0,1.0
PLEKHB1,0.01266098825831527,0.006101459874845571,0.006559528383469699,0.5644556697053579
ZFP775,2.115943386374743,2.200691168372304,-0.08474778199756106,0.1497690957848182
KIF16BOS,0.0,0.3068929917272517,-0.3068929917272517,0.0035213725746923875
TMEM119,8.810317445936947,6.596876303424973,2.213441142511974,7.925277881295898e-07
NUDT6,3.771439186231776,3.8277664662846065,-0.056327280052830275,0.23174982252374796
DERA,6.121877863814844,5.951915141404138,0.1699627224107063,0.06356614830742865
MRS2,5.570527230719754,5.512915668591586,0.05761156212816765,0.09014306372816952
TBCB,5.8446691886334605,5.754252940481322,0.09041624815213822,0.1774219141448166
VMN1R83,0.0,0.0,0.0,1.0
AY512915,0.0,0.0,0.0,1.0
LAMB3,2.3377062406732065,3.4246315717418434,-1.0869253310686369,8.364155063177685e-08
ELMO1,5.736014301937239,5.906788229677597,-0.17077392774035793,0.06734966733986049
GK,4.114163107629389,4.330344352085729,-0.21618124445633935,0.1718841544378195
TYW3,2.019017475887287,2.5074995098103523,-0.4884820339230651,0.0014420162606839815
SWT1,3.5201477433784913,3.5143492760208828,0.005798467357608583,0.923232066512103
ALDH1B1,6.497190293002728,6.697009706577174,-0.19981941357444644,0.16453027190363353
BEST2,0.0131294444351899,0.07466814181332995,-0.06153869737814005,0.017780247632409447
POGZ,4.060058547220309,4.304135560721778,-0.24407701350146915,0.00023085416950615093
POU3F1,0.0,0.0,0.0,1.0
CALM2,9.074207030169754,9.517413279754248,-0.4432062495844935,0.006640122219816425
FNDC8,0.004885691445564506,0.0,0.004885691445564506,0.38928314247621143
RYK,0.0,1.9122646539630295,-1.9122646539630295,2.4591588165672948e-15
SYCP3,0.10426080547892731,0.03415746423309009,0.07010334124583723,0.12874167191158167
SRP68,6.865753842127951,6.732084830062422,0.13366901206552928,0.03786324671684288
SLC29A4,0.01849864012115977,0.025828024076297577,-0.0073293839551378075,0.6793476133057978
PRKG1,0.007235796993636377,0.005703201211677656,0.0015325957819587212,0.8386913501888851
ATP6AP1L,0.0,0.0,0.0,1.0
FANCB,3.3548589886818703,3.985978593440012,-0.6311196047581418,0.026166901625177704
POLL,3.5866943234236808,3.338614717773153,0.24807960565052767,0.00016587888358219341
CACNG8,0.0,0.0,0.0,1.0
SATL1,0.0,0.0,0.0,1.0
TSPAN15,0.7303329910413754,0.10677273974161186,0.6235602512997636,0.00016303654135436151
4930563M20RIK,0.0,0.0,0.0,1.0
GM20036,0.6217100817350673,0.528932827917669,0.09277725381739821,0.36132173691791425
B430010I23RIK,0.0,0.0,0.0,1.0
FBXL17,2.522337595455915,2.112832874408337,0.4095047210475782,0.0006265846394654743
B230217O12RIK,4.452981101943449,3.5278979601049123,0.9250831418385363,3.4535849662450692e-06
A730008H23RIK,0.0,0.0,0.0,1.0
GM13363,0.0,0.0,0.0,1.0
SH3TC2,0.0,0.0,0.0,1.0
UBE2E1,7.406761029649071,7.359025256189971,0.04773577345909974,0.5241675208780736
SOX4,7.011028808972122,5.84294770279123,1.1680811061808916,4.8685488114154655e-11
TMOD1,2.485765289246534,0.17512451268432444,2.3106407765622095,1.7475545100939872e-08
STFA3,0.0,0.0,0.0,1.0
CSRP2,4.88866580966291,5.594710407592046,-0.7060445979291368,1.4323916524295416e-05
ZFP280C,4.4813175663654965,4.681435389479614,-0.20011782311411785,0.04701894341551957
FMN2,0.001823419568330532,1.7871967752437203,-1.78537335567539,2.351499408247695e-13
NCSTN,6.23621759506436,5.868264750384519,0.36795284467984146,0.017724001564775514
PRSS21,0.0,0.0,0.0,1.0
MANSC4,0.041810381176595364,0.0,0.041810381176595364,0.099854838580493
FAM120AOS,2.950487471116899,3.0354522838404443,-0.08496481272354517,0.1150661363298661
GM9054,0.4234224733686896,0.28325163963759903,0.14017083373109057,0.2827614407745223
TTC5,4.928819309752301,4.853409741796691,0.07540956795561016,0.15792532133372
BC030500,0.0,0.0,0.0,1.0
EIF4EBP3,4.235454612793704,5.188309805903316,-0.9528551931096123,7.724046981242568e-10
PDK4,0.0026607873358770423,0.0,0.0026607873358770423,0.38928314247621143
EMID1,7.1579794971913175,0.8964318701659145,6.261547627025403,3.312554215442796e-11
ASB13,3.787374623281885,3.7914094892346015,-0.004034865952716515,0.9445413177305779
LRP2,0.0005757575483086991,0.0008527201975814323,-0.0002769626492727332,0.7878212985684696
SLC5A9,1.332228186863441,0.00315550773605277,1.3290726791273881,7.13660575187457e-10
PDIA3,8.954581242338776,8.677972376542481,0.2766088657962946,1.483912004962206e-05
HHIPL2,0.026846228925510196,0.07722329804457265,-0.05037706911906245,0.07983810138573662
GM34184,0.0,0.0,0.0,1.0
OLFR1373,0.0,0.0,0.0,1.0
CUL4A,5.642489886865441,5.119159582102623,0.5233303047628182,8.162396508595618e-08
PPP2R3C,5.022880960046735,5.066273526810794,-0.04339256676405867,0.40831662318779804
SLAIN1OS,0.005920750096934616,0.00585727868117513,6.347141575948657e-05,0.9926853741515445
IFT46,3.9146494364308673,4.07145062791262,-0.15680119148175287,0.12514587288488113
POM121L2,0.0,0.0035233907313864422,-0.0035233907313864422,0.2966650369240991
TRMT13,2.8652314552698663,3.03525058727904,-0.17001913200917373,0.0030419319143852102
SIGIRR,5.041113456032881,4.081745276279129,0.9593681797537519,0.00022683074917734296
VMN1R29,0.0,0.0,0.0,1.0
TARS2,5.070549871339085,5.410691309515748,-0.340141438176663,0.0013240388352317148
TDGF1,0.0,0.0,0.0,1.0
OPN5,0.0,0.0,0.0,1.0
C330022C24RIK,0.020226194516613876,0.02788382060078897,-0.007657626084175095,0.7970348705291668
BTBD7,4.133457445003903,4.156358327385146,-0.02290088238124266,0.5284244001671333
CCDC86,4.459864049967884,4.6166771404172655,-0.15681309044938185,0.38578283634142196
NAT8F4,0.4990125989582617,1.238029079732774,-0.7390164807745123,5.382042868314973e-05
PIK3IP1,5.047224915777404,4.769392189413069,0.277832726364335,0.3383531509290657
TEX10,5.419097743211332,5.60380321917436,-0.18470547596302733,0.034935790005539646
STK-PS2,0.0,0.0,0.0,1.0
ODC1,8.059541922613883,8.127605091291386,-0.06806316867750262,0.6721277328497586
ATG16L1,3.9944517007439693,4.087406373516813,-0.09295467277284342,0.1337730586327302
HIGD1C,0.0,0.0,0.0,1.0
ATF6,5.1242648269913245,4.947297046501943,0.1769677804893819,0.11212612120056793
TMEM38B,1.5776409819067487,2.2390932208435936,-0.6614522389368449,0.0009450906383947708
VMN1R124,0.0,0.0,0.0,1.0
DRD4,0.0,0.0,0.0,1.0
MPDZ,0.0010308316571005067,0.0,0.0010308316571005067,0.38928314247621143
TMEM199,4.885909368525873,4.929059711591483,-0.043150343065610386,0.6225055777382704
SNTB2,2.758634076158854,2.8376673553807805,-0.07903327922192638,0.22456933788865918
